Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.181809425354004;0-2;LSB bit-flip;1
version_info;rtld.c;827;0.5365633964538574;0-2;LSB bit-flip;1
any_debug;rtld.c;2322;0.9052228927612305;0-2;LSB bit-flip;1
__GI__dl_argv;rtld.c;83;0.6794755458831787;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.775305986404419;0-2;LSB bit-flip;1
relocate_time;rtld.c;306;0.7797110080718994;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.4907114505767822;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.7168154716491699;0-2;LSB bit-flip;1
tls_init_tp_called;rtld.c;677;0.26583290100097656;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.7874577045440674;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.210909366607666;0-2;LSB bit-flip;1
_dl_rtld_libname;rtld.c;301;0.24927377700805664;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.6986844539642334;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.5052862167358398;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.5887901782989502;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.0636670589447021;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.5890257358551025;0-2;LSB bit-flip;1
__evoke_link_warning_llseek;../sysdeps/unix/sysv/linux/lseek64.c;53;1.5741910934448242;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.7150051593780518;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9935717582702637;0-2;LSB bit-flip;1
__pointer_chk_guard_local;rtld.c;96;0.41665172576904297;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.1757137775421143;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.6462705135345459;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.8329737186431885;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.9005007743835449;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9545493125915527;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.5384154319763184;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8236629962921143;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.617795467376709;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.7707955837249756;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.7049739360809326;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.45691728591918945;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.254408597946167;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.7955570220947266;0-2;LSB bit-flip;1
audit_list;rtld.c;142;0.417738676071167;0-2;LSB bit-flip;1
start_time;rtld.c;308;1.1309213638305664;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.1104300022125244;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.1974985599517822;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;rtld.c;0;1.1086735725402832;0-2;LSB bit-flip;1
_rtld_global;rtld.c;231;0.8676755428314209;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.38025712966918945;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.8177840709686279;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.6648132801055908;0-2;LSB bit-flip;1
__GI__dl_argv;rtld.c;83;0.7675824165344238;0-2;LSB bit-flip;1
load_time;rtld.c;307;0.5893557071685791;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.7918386459350586;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.177412509918213;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.679189920425415;0-2;LSB bit-flip;1
